module,lesson,lesson_number,file_name,url
Navigating Credit,What Factors Do Loan Officers Consider,Lesson-4,What Factors Do Loan Officers Consider_.txt,https://www.rep4finlit.org/path-player?courseid=navigating-credit&unit=69614d263442b3d94c00921bUnit&learningProgramId=68bb450695387cdca40c473c
Navigating Credit,Paying Down Debt,Lesson-5,Navigating Credit_ Paying Down Debt.txt,https://www.rep4finlit.org/path-player?courseid=navigating-credit&unit=69614d263442b3d94c00921bUnit&learningProgramId=68bb450695387cdca40c473c
Planning for the Future,Identifying Common Scams,Lesson-2,Planning for the Future - Identifying Common Scams.txt,https://www.rep4finlit.org/path-player?courseid=planning-for-the-future&unit=69614dd4fb0134ed6b0b3a5eUnit&learningProgramId=68bb450695387cdca40c473c
Planning for the Future,Online Financial Safety,Lesson-3,Planning for the Future – Online Financial Safety.txt,https://www.rep4finlit.org/path-player?courseid=planning-for-the-future&unit=69614dd4fb0134ed6b0b3a5eUnit&learningProgramId=68bb450695387cdca40c473c
Planning for the Future,Filing a Dispute,Lesson-4,Planning for the Future_ Filing a Dispute.txt,https://www.rep4finlit.org/path-player?courseid=planning-for-the-future&unit=69614dd4fb0134ed6b0b3a5eUnit&learningProgramId=68bb450695387cdca40c473c
Planning for the Future,Auto Home and Renters Insurance,Lesson-1,"Planning for the Future_ Auto, Home, and Renters.txt",https://www.rep4finlit.org/path-player?courseid=planning-for-the-future&unit=69614dd4fb0134ed6b0b3a5fUnit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Use Your Power for Good,Lesson-2,Financial Independence_ Use Your Power for Good.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b6Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Ethical Investing,Lesson-3,Financial Independence – Ethical Investing.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b6Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Pay it Forward,Lesson-4,Financial Independence_ Pay it forward.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b6Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Let Them Eat Cereal,Lesson-1,Financial Independence_ Let Them Eat Cereal.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b7Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,The Short Squeeze,Lesson-2,Financial Independence_ The Short Squeeze.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b7Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Brooklyn Rent Strikes,Lesson-3,Financial Independence_ Brooklyn Rent Strikes.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b7Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Embracing Your Worth,Lesson-1,Financial Independence – Embracing Your Worth.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b8Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Consistency is Key,Lesson-2,Financial Independence_ Consistency is Key.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b8Unit&learningProgramId=68bb450695387cdca40c473c
Financial Independence,Personal Reflection,Lesson-3,Financial Independence_ Personal Reflection.txt,https://www.rep4finlit.org/path-player?courseid=financial-independence&unit=69614e89c4ac7b70f60434b8Unit&learningProgramId=68bb450695387cdca40c473c
